name,url,image_url,Item ID,Total Price,Weight,Per Carat Price,Color,Shape,Clarity,Cut,Color Intensity,Origin,Treatments,Length,Width,Height,Price per Length
Padparadscha Sapphire - Round 1.22 Ct. #PA4067,https://www.thenaturalsapphirecompany.com/1.22ct-ceylon-sri-lanka-round-padparadscha-sapphire-pa4067-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa4067/image/certified-natural-untreated-ceylon(srilanka)-round-padparadscha-sapphire-1.2200-cts-pa4067-1-full.jpg,PA4067,1708,1.22,"$1,400 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Round,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,6.74,6.64,3.83,253.41246290801186
Padparadscha Sapphire - Round 1.07 Ct. #PA3962,https://www.thenaturalsapphirecompany.com/1.07ct-madagascar-round-padparadscha-sapphire-pa3962-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa3962/image/certified-natural-madagascar-round-padparadscha-sapphire-1.0700-cts-pa3962-1-full.jpg,PA3962,2086,1.07,"$1,949.53 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Round,Very Slightly Included,Mixed Brilliant,Vivid,Madagascar,Heated,6.08,5.95,3.52,343.0921052631579
Padparadscha Sapphire - Oval 1.02 Ct. #PA3965,https://www.thenaturalsapphirecompany.com/1.02ct-mozambique-oval-padparadscha-sapphire-pa3965-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa3965/image/certified-natural-mozambique-oval-padparadscha-sapphire-1.0200-cts-pa3965-1-full.jpg,PA3965,3366,1.02,"$3,300 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,6.99,5.0,3.4,481.54506437768237
Padparadscha Sapphire - Cushion 1.05 Ct. #PA4166,https://www.thenaturalsapphirecompany.com/1.05ct-ceylon-sri-lanka-cushion-padparadscha-sapphire-pa4166-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa4166/image/certified-natural-ceylon(srilanka)-cushion-padparadscha-sapphire-1.0500-cts-pa4166-1-full.jpg,PA4166,3772,1.05,"$3,592.38 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,7.55,5.64,2.69,499.6026490066225
Padparadscha Sapphire - Pear 2.00 Ct. #PA4160,https://www.thenaturalsapphirecompany.com/2.00ct-madagascar-pear-padparadscha-sapphire-pa4160-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa4160/image/certified-natural-madagascar-pear-padparadscha-sapphire-2.0000-cts-pa4160-1-full.jpg,PA4160,5550,2.00,"$2,775 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,8.32,6.69,3.89,667.0673076923076
Padparadscha Sapphire - Oval 3.18 Ct. #PA3881,https://www.thenaturalsapphirecompany.com/3.18ct-ceylon-sri-lanka-oval-padparadscha-sapphire-pa3881-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa3881/image/certified-natural-untreated-ceylon-oval-padparadscha-sapphire-2.1800-cts-pa3881-1-full.jpg,PA3881,5588,3.18,"$1,757.23 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,9.71,7.25,5.37,575.4891864057672
Padparadscha Sapphire - Oval 3.06 Ct. #PA3845,https://www.thenaturalsapphirecompany.com/3.06ct-madagascar-oval-padparadscha-sapphire-pa3845-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa3845/image/certified-natural-madagascar-oval-padparadscha-sapphire-3.0600-cts-pa3845-1-full.jpg,PA3845,5661,3.06,"$1,850 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,10.54,8.38,3.94,537.0967741935484
Padparadscha Sapphire - Oval 1.74 Ct. #PA3310,https://www.thenaturalsapphirecompany.com/1.74ct-ceylon-sri-lanka-oval-padparadscha-sapphire-pa3310-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa3310/image/certified-natural-ceylon-oval-padparadscha-sapphire-1.7400-cts-pa3310-1-full.jpg,PA3310,6277,1.74,"$3,607.47 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,7.97,6.25,4.24,787.5784190715182
Padparadscha Sapphire - Oval 2.12 Ct. #PA4157,https://www.thenaturalsapphirecompany.com/2.12ct-ceylon-sri-lanka-oval-padparadscha-sapphire-pa4157-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa4157/image/certified-natural-untreated-madagascar-oval-padparadscha-sapphire-2.1200-cts-pa4157-1-full.jpg,PA4157,6864,2.12,"$3,237.74 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,8.31,6.75,4.45,825.9927797833934
Padparadscha Sapphire - Oval 2.02 Ct. #PA4031,https://www.thenaturalsapphirecompany.com/2.02ct-madagascar-oval-padparadscha-sapphire-pa4031-/,https://image.thenaturalsapphirecompany.com/nsc/sapphire/pa4031/image/certified-natural-madagascar-oval-padparadscha-sapphire-2.0200-cts-pa4031-1-full.jpg,PA4031,7287,2.02,"$3,607.43 per Ct.",Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,Eye Clean,Mixed Brilliant,Intense,Madagascar,Heated,8.73,7.05,3.68,834.7079037800687
